response,window_years,model_type,predictor,coefficient,std_error,p_value,n,r_squared
recovery_3yr,3,multivariable,temp_anomaly_1_3yr,-0.2668212407333651,0.4861363273884566,0.5863980601096943,43,0.11344547350854772
recovery_3yr,3,multivariable,precip_anomaly_1_3yr,5.957251054412227e-05,0.00025954412120994237,0.8197230988910785,43,0.11344547350854772
recovery_3yr,3,multivariable,vpd_anomaly_1_3yr,0.7032669643897845,5.102085173293435,0.8911149751348351,43,0.11344547350854772
recovery_3yr,3,multivariable,dNBR,1.0710305296176381,0.6265596804770477,0.09575598720168908,43,0.11344547350854772
recovery_3yr,3,multivariable,fire_year,0.0011380827288374597,0.011354441957172808,0.9207009904998659,43,0.11344547350854772
recovery_3yr,3,temperature_only,temp_anomaly_1_3yr,-0.18694711647181558,0.15600796668739095,0.23767442395610627,43,0.033838406361574425
recovery_3yr,3,precipitation_only,precip_anomaly_1_3yr,3.454177466365117e-05,0.00019691432420861286,0.8616168355420407,43,0.0007499373816787225
recovery_3yr,3,vpd_only,vpd_anomaly_1_3yr,-2.4996766289292838,1.958498559498326,0.20902401592882952,43,0.038213428054688525
recovery_5yr,5,multivariable,temp_anomaly_1_5yr,-0.34967725393585636,0.5603895841738059,0.5365687610225583,42,0.09328009597871811
recovery_5yr,5,multivariable,precip_anomaly_1_5yr,-0.0002152382148788614,0.00035699526228722827,0.5503441053242422,42,0.09328009597871811
recovery_5yr,5,multivariable,vpd_anomaly_1_5yr,2.9852493249361327,7.561905170432298,0.6953384123639019,42,0.09328009597871811
recovery_5yr,5,multivariable,dNBR,0.8034220332691001,0.5666516171721699,0.16483536046975353,42,0.09328009597871811
recovery_5yr,5,multivariable,fire_year,0.015341145479002182,0.011152815575458786,0.17746318583749518,42,0.09328009597871811
recovery_5yr,5,temperature_only,temp_anomaly_1_5yr,0.02148262407839395,0.1700536505596738,0.900104762669753,42,0.0003988131874991252
recovery_5yr,5,precipitation_only,precip_anomaly_1_5yr,-3.208888056792594e-05,0.00021827404740088472,0.8838611235587955,42,0.000540020626019766
recovery_5yr,5,vpd_only,vpd_anomaly_1_5yr,-0.2633421982002795,2.7299529224273615,0.9236337596192942,42,0.00023257851148883457
recovery_10yr,10,multivariable,temp_anomaly_1_10yr,1.6897236187873617,1.7621607301533093,0.3448020549374121,38,0.25914050927200305
recovery_10yr,10,multivariable,precip_anomaly_1_10yr,1.1101607443801003e-05,0.0006492443600071305,0.9864635886344542,38,0.25914050927200305
recovery_10yr,10,multivariable,vpd_anomaly_1_10yr,-18.824455053590263,13.281553837861312,0.16604775838229202,38,0.25914050927200305
recovery_10yr,10,multivariable,dNBR,-0.8080397032499073,0.6393376986764437,0.21540635324870866,38,0.25914050927200305
recovery_10yr,10,multivariable,fire_year,-0.015196203089036566,0.031468091761874734,0.6324483185413315,38,0.25914050927200305
recovery_10yr,10,temperature_only,temp_anomaly_1_10yr,0.7970234540412036,0.38438260732982543,0.0453382313451134,38,0.10668796486201493
recovery_10yr,10,precipitation_only,precip_anomaly_1_10yr,0.0009997792512743047,0.00040309059744847615,0.017939733988968937,38,0.14594414505510356
recovery_10yr,10,vpd_only,vpd_anomaly_1_10yr,-8.603509725496039,5.964032229741129,0.15778751757398024,38,0.054646586679795384
